customer_no,store_id,id,uuid
,47978612,3328,cd2a830b-5a94-484a-81f7-dff538498783
,481133,3391,02129ef8-b511-4024-afcd-36a62146ba93
201712-002491,48367222,5986,44b78459-d574-4f7c-8a31-1a1ff0f7a61e
201803-010821,48784889,6636,ae725cf8-7682-45cb-883f-8fc76bc56be5
201700-003267,4f,4775,2680072c-dba6-4a65-90a9-5a3bf0aea4e1
201808-014071,4hourslightbbq,7951,e3a24da6-9cca-4ebf-a160-4837076b27bc
,4thfloor,5732,f6519613-3910-4b41-835a-dbeb7173c897
201710-001659,501,5149,e78096a5-70db-4b4b-8025-b44f958c37af
201700-002406,5045wine,3358,1de7b07f-5cfe-4f8f-a516-1923fd5b3226
201805-011841,50558353,7038,7b8f16c4-dcca-4c6c-b241-879b61a37450
,50707889,6162,f74cec87-a8b3-47be-8765-b3cc90c7818f
,50759680,6640,0a236ad9-b57b-458c-8061-0323c28f67f6
201811-016142,50762072,9028,40aa303e-0a5d-4d65-a473-572699e61942
,50765682,6786,f9995cb9-26b5-410a-968f-f80c54b5e99c
,50787790,7448,dd5bf394-1663-4455-aa02-941ea9401ecb
,507877901,7756,b25e5cda-f435-4df6-9f68-48cfaa3bbcbe
,50788236,7622,dc369f9f-cf1f-46e4-b9d3-5f48651b4ac7
,50885119,8713,d5837f92-3e4b-4888-8a10-c0d837d71928
201808-014177,50927883,8838,c84d9050-2437-4db3-a9b8-b231e9e23d60
201811-016187,50970369,8829,400aa60a-8a1d-4cf9-a688-7209b8482c77
201700-002111,52,3059,aef32289-91a5-4640-9d90-1d834b02e731
,52502335g,3481,28107442-f27e-4e71-937a-00c04c8e9707
201700-002654,52531140,3742,95a85045-f839-42de-8a69-54dc086e2fbb
201805-012285,52531726,7066,2f731d39-55d1-4337-8b63-baebad7d01f7
201700-002689,52565921,4033,bd9ae629-1a7c-445b-a876-6c4f6e2d7af8
201805-011723,52868018,7410,1b58271e-dcf3-449b-ae9e-d21e4c284fa4
201802-003447,5310135,6096,5d25b313-6bd3-4fa3-a960-3e9fa1e1b88c
,53312018,4435,db078901-1057-41c0-95e0-98075b126b58
,5331815,5033,5e2a1044-ed27-4336-b16e-818f99349bc8
,5336693,8576,f74bc480-590d-4a4d-b3cb-7deb9bf15994
201802-010343,53408718,6322,8141f04f-e71d-4538-b57d-a577feecb878
,53698575,973,fb470c74-6058-4112-a9b8-6dbfa7d83e0e
,53969632,6203,33946f57-46ed-4cba-8609-0697cd0a4767
201806-012648,54553149,7357,6301fd9c-64e8-4f77-8e88-4d9bb5fb9948
,54678582,5222,8ae29290-5764-444e-887e-0183e039f9d4
,550cafe,3136,a0e141c8-232c-43ec-94f5-d69ade799b5e
201708-000811,55360890,4740,5a441948-03ce-425a-9f58-7aa5ecdc4fb4
201700-003108,555,4561,f032eceb-2a55-4e53-b1d5-f0cebcee381c
,55627132ice,7247,5fa32b11-67f2-49d9-8191-127e586db758
201807-013255,55955,8577,b7ef76aa-1666-4f30-bc30-f9e9ad0f648c
,561012,7675,d788bfc8-a170-4d45-ae27-6a841e347873
,5666,5855,17f27a9c-0b18-47e1-a273-84f68236a48f
,571street,3887,d070e95b-995f-4e93-a39c-cfc336af5391
201700-000305,57904668,242,0fad224d-31b2-4129-ba54-a107a3fd0831
,58011407,6992,58f75f38-2c76-4287-a8ae-83db53325c6f
,5815779,7400,11720df5-0a60-4cde-a12a-bc8d829052eb
,5824366,8049,ef2b5c69-e234-430b-803b-dacf4e7569d6
201807-013285,5847,7562,9d5945f5-9f12-4854-9ffe-1a7cd24b1c8a
201700-001498,58coffee,2107,c36194ad-9b60-42e3-a5a7-5f3bc4062dc3
,59110398,7184,e9f6e7cf-7c35-4763-a18c-8864c3f788c4
,5in,8359,54b24573-2657-4d1e-8682-713af09a1e4e
,601,5440,67e6042b-3147-4dfb-9f11-6044a8364319
,60254061,3545,d68fff00-4af8-467b-802f-58e50d34d72f
,6118,7517,4944b663-e977-4a24-9c8c-5ff0d76005b3
,612moonlightcafe,2549,2b1bc75c-6204-4593-9b1c-7695e9890e35
,61820536,4470,7d4f03ab-66d8-4ec1-9626-300063830064
,61839471,7126,a6422eab-0249-491b-b097-b9d556086d0d
,628,4384,9a9d14ac-aa69-464b-913f-ad0b76b378ad
201710-001785,62brunch,5244,b4fe8205-14b2-4c86-b6b5-557a5b299fe3
201806-012444,64102307,7059,329cf925-99b8-4fb4-9aaf-880a4cda35af
201707-000460,64910167,4743,41b900b0-4062-41ff-9bce-432fd7df8500
201804-011400,64958746,7000,22845426-a78d-46d5-9146-0d9035c4e825
201710-001794,64991597,5889,8f746e5f-7f1d-47f1-8ee6-7446e584e30b
201801-002916,64992884,5848,731d9c61-3fef-4f9e-8e4e-aca79b365e1a
201810-015162,6626067,8584,24a6d042-749f-44d7-a270-a89fb22913d8
,66378277,7725,c9373200-ee95-46bf-ae59-1c7ad22f9d21
,66604831,7700,cfee3983-cb72-4b4d-b56e-1b9fcbf45e5c
201706-000059,66627763,4556,15c96a07-a6c9-4e2a-b08b-21f9c63a3eaa
,666546nn,5527,00139a7b-a3bf-453c-8d10-120c11a2c689
,670725,7445,1771b946-36ef-4e69-8c49-0b928d69c767
201700-001229,68219924,1647,ca53a639-148f-44f0-ad1e-d642d7097c82
,6938579,7861,c9a1afe0-f69b-47a4-b3d7-032b21097b94
201700-000961,6cafe,1224,8145d3e8-0ee1-4e25-a493-1b8de60cfde5
,704a,6732,a9653518-c2f3-4939-912b-be5d372a0ec4
201700-001950,70961260,2863,0406e34f-07d6-4060-af65-f01045ff6f8d
201809-015044,7102hcy,8397,bda38959-ed88-4416-91ca-3b9fd8fdd495
,71566203,4512,30f6e4b4-547e-4a71-a3d8-47d8097986ac
,718520,4132,51a2787d-0567-4dd2-b928-64e29825636e
,72521438,6343,29092388-f1bb-4956-9c6b-030dc232abd4
,72692559,5857,3d6cb8c1-f0b3-4d78-9b71-45e9048bdb0f
201806-012695,72848363,7369,2aee2ad4-7bff-4c5f-a2e0-89d65d3c08f6
201805-011785,72865138,6899,6ec79c17-6ac4-47d9-b571-acf402e3d3ca
,72909728,6278,d29c1a45-d5ed-4e10-bd53-97b8cac7641e
,72915051,6482,e60d6491-e743-4d1b-b3e3-e4bb049b1e45
201803-010846,72922840,7018,4e5a7ddc-d98a-4e59-b077-8a49fdb9f969
,72951669,7277,d38f313b-09cb-4d0b-a9d8-3588a5737109
201805-012351,72cafe,7225,6892aad0-1cc0-4ced-bcd9-87bbf21a3948
,72foodies,179,827ae7bf-b21f-4231-9ab4-8c1b78c6b2f3
201802-010348,7335550,6210,b4d25fdb-034a-4807-9a8f-a3ec0f70ca1a
201808-014397,73651710,8039,40f74fa8-9f53-4cd3-9520-b2d5a4e202d4
,753,1661,c36062c3-a234-434b-8fa8-32e81ac98bd0
,75540959,1952,a0c9bccc-bc8d-4075-8d86-93d028b8a5ee
,77,6440,3550cc85-9a39-4aa9-a5bd-3c05d17d522f
,780320chin,6177,2d225cdf-5332-45f8-95b9-67e97335d148
201700-000970,7days4seasons,1238,ac6cc030-f07e-40ac-b23d-a34a8d88dc8f
,805,4051,98187bd7-e7f3-4b5b-b1b5-0fc78424362e
,82216138,6959,9fc376b7-9188-4b6a-8fcf-381b3f6f7064
